koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period_err1,koi_period_err2,koi_time0bk_err1,koi_time0bk_err2,koi_impact_err1,koi_duration_err1,koi_duration_err2,koi_depth,koi_teq,koi_model_snr,koi_slogg,koi_slogg_err2,ra,dec,koi_kepmag
1,0,0,0,0,9.58e-06,-9.58e-06,0.00117,-0.00117,0.32899999999999996,0.0426,-0.0426,1036.9,823,47.1,4.485,-0.027999999999999997,286.99948,48.37579,15.841
1,0,0,0,0,5.7999999999999994e-05,-5.7999999999999994e-05,0.0013800000000000002,-0.0013800000000000002,0.402,0.057999999999999996,-0.057999999999999996,1804.8,506,80.0,4.56,-0.15,285.71854,48.505859,15.082
1,0,0,0,0,0.0007518,-0.0007518,0.00643,-0.00643,0.335,0.204,-0.204,652.0,359,19.1,4.56,-0.15,285.71854,48.505859,15.082
0,0,0,0,0,5.15e-07,-5.15e-07,8.27e-05,-8.27e-05,0.016,0.0075,-0.0075,9802.0,1103,696.5,4.359,-0.11,292.16705,48.727589,15.263
2,0,1,1,0,5.63e-06,-5.63e-06,0.00164,-0.00164,3.967,0.0892,-0.0892,860.4,1222,48.3,4.468,-0.16899999999999998,297.92365,48.777321,15.54
1,0,0,0,0,1.7800000000000002e-05,-1.7800000000000002e-05,0.003,-0.003,0.154,0.0934,-0.0934,460.0,1133,29.5,4.486000000000001,-0.20800000000000002,298.45685,48.791592,15.395
2,0,1,0,0,5.86e-06,-5.86e-06,0.00024900000000000004,-0.00024900000000000004,0.01,0.0179,-0.0179,11766.0,730,513.4,4.391,-0.21,291.0939,48.933842,15.536
1,0,0,0,0,3.05e-06,-3.05e-06,0.000468,-0.000468,0.005,0.024,-0.024,601.6,1093,166.7,4.3389999999999995,-0.10800000000000001,287.88732999999996,46.276241,12.790999999999999
1,0,0,0,0,7.56e-05,-7.56e-05,0.0014199999999999998,-0.0014199999999999998,0.04,0.08800000000000001,-0.08800000000000001,2793.1,516,141.1,4.367,-0.187,295.55505,49.017342,15.4
1,0,0,0,0,1.52e-05,-1.52e-05,0.00133,-0.00133,0.423,0.0518,-0.0518,1041.6,790,43.4,4.582,-0.14400000000000002,285.49924,49.277351,15.317
1,0,0,0,0,3.13e-06,-3.13e-06,0.0006129999999999999,-0.0006129999999999999,0.235,0.0362,-0.0362,1487.3,1243,128.6,4.417,-0.21,291.93616000000003,49.253979,15.505999999999998
1,0,0,0,0,1.65e-07,-1.65e-07,4.66e-05,-4.66e-05,0.264,0.006659999999999999,-0.006659999999999999,16814.0,1219,1406.8,4.452,-0.10800000000000001,297.01547,49.225288,15.052
2,0,1,1,0,6.15e-05,-6.15e-05,0.00137,-0.00137,0.006,0.10400000000000001,-0.10400000000000001,8503.7,430,236.1,4.628,-0.07,284.17233,49.360721999999996,15.716
1,0,0,0,0,6.11e-06,-6.11e-06,0.0011099999999999999,-0.0011099999999999999,0.040999999999999995,0.0423,-0.0423,1010.9,1104,71.1,4.428,-0.11699999999999999,295.81616,51.121738,15.367
1,0,0,0,0,2.42e-05,-2.42e-05,0.00183,-0.00183,0.009000000000000001,0.073,-0.073,1023.5,806,37.9,4.428,-0.11699999999999999,295.81616,51.121738,15.367
1,0,0,0,0,1.59e-05,-1.59e-05,0.0009570000000000001,-0.0009570000000000001,0.015,0.0489,-0.0489,511.7,785,88.4,4.406000000000001,-0.11,300.86397999999997,44.337551,12.882
1,0,0,0,0,1.4099999999999999e-05,-1.4099999999999999e-05,0.00159,-0.00159,0.013000000000000001,0.0384,-0.0384,192.4,997,47.1,4.3389999999999995,-0.10800000000000001,287.88732999999996,46.276241,12.790999999999999
2,0,1,0,0,7.02e-07,-7.02e-07,7.32e-05,-7.32e-05,0.34600000000000003,0.0129,-0.0129,24446.0,967,835.6,4.468999999999999,-0.21,288.98682,49.733742,15.27
1,0,0,0,0,5.22e-05,-5.22e-05,0.00248,-0.00248,0.43700000000000006,0.0798,-0.0798,1127.1,433,28.9,4.6610000000000005,-0.022000000000000002,286.73804,49.97575,15.095
1,0,0,0,0,0.0001809,-0.0001809,0.00392,-0.00392,0.43700000000000006,0.126,-0.126,1122.3,332,21.7,4.6610000000000005,-0.022000000000000002,286.73804,49.97575,15.095
1,0,0,0,0,9.359999999999999e-07,-9.359999999999999e-07,0.000195,-0.000195,0.13,0.035,-0.035,5226.5,1023,345.2,4.577,-0.136,290.78574,50.054119,15.523
0,0,0,0,0,0.0001139,-0.0001139,0.0022199999999999998,-0.0022199999999999998,5.567,0.14,-0.14,6256.0,467,36.9,4.507,-0.105,294.31686,50.080231,15.487
1,0,0,0,0,2.67e-06,-2.67e-06,0.0009,-0.0009,0.009000000000000001,0.0384,-0.0384,821.7,822,38.9,4.698,-0.027000000000000003,285.17621,50.149817999999996,15.135
1,0,0,0,0,1.95e-06,-1.95e-06,0.000659,-0.000659,0.18899999999999997,0.0271,-0.0271,971.2,1070,82.4,4.595,-0.064,293.83331,50.23035,15.334000000000001
0,0,0,0,0,1.62e-05,-1.62e-05,0.002,-0.002,49.85,0.171,-0.171,556.4,734,13.7,4.595,-0.064,293.83331,50.23035,15.334000000000001
0,0,0,0,0,4.73e-05,-4.73e-05,0.011000000000000001,-0.011000000000000001,0.037000000000000005,0.40700000000000003,-0.40700000000000003,23.2,1272,8.7,4.3389999999999995,-0.10800000000000001,287.88732999999996,46.276241,12.790999999999999
1,0,0,0,0,1.4099999999999999e-05,-1.4099999999999999e-05,0.000923,-0.000923,0.187,0.052000000000000005,-0.052000000000000005,2804.5,396,71.0,4.79,-0.045,296.22195,50.28722,15.937000000000001
1,0,0,0,0,4.68e-06,-4.68e-06,0.0005070000000000001,-0.0005070000000000001,0.052000000000000005,0.0681,-0.0681,3001.0,833,312.1,4.556,-0.161,295.45529,50.49456,15.08
1,0,0,0,0,4.15e-05,-4.15e-05,0.00182,-0.00182,0.36,0.0551,-0.0551,1219.8,393,37.1,4.702,-0.027000000000000003,293.97336,50.531909999999996,15.385
1,0,0,0,0,1.49e-05,-1.49e-05,0.00119,-0.00119,0.003,0.0393,-0.0393,1053.3,488,30.3,4.702,-0.027000000000000003,293.97336,50.531909999999996,15.385
1,0,0,0,0,3.929999999999999e-05,-3.929999999999999e-05,0.00245,-0.00245,0.033,0.0834,-0.0834,916.6,677,35.8,4.603,-0.128,296.02133,50.56778,15.505
1,0,0,0,0,9.609999999999999e-05,-9.609999999999999e-05,0.0019199999999999998,-0.0019199999999999998,0.039,0.11900000000000001,-0.11900000000000001,615.2,531,83.7,4.406000000000001,-0.11,300.86397999999997,44.337551,12.882
2,0,1,1,0,9.95e-06,-9.95e-06,0.00247,-0.00247,11.28,0.12,-0.12,725.3,1032,39.0,4.551,-0.105,292.31595,38.27029,15.629000000000001
0,0,0,0,0,1.02e-06,-1.02e-06,0.000487,-0.000487,4.827,0.0285,-0.0285,1620.6,1547,103.6,4.41,-0.18600000000000003,294.36818999999997,38.31028,15.279000000000002
1,0,0,0,0,0.0005043000000000001,-0.0005043000000000001,0.00625,-0.00625,0.359,0.184,-0.184,931.3,390,20.1,4.587,-0.10400000000000001,296.36652000000004,51.319519,15.339
1,0,0,0,0,6.65e-06,-6.65e-06,0.000413,-0.000413,0.065,0.0592,-0.0592,6105.6,753,277.2,4.508,-0.20800000000000002,289.11221,51.737381,15.14
2,0,1,0,0,7.41e-07,-7.41e-07,0.000397,-0.000397,5.652,0.0232,-0.0232,1976.3,1920,112.6,4.22,-0.11699999999999999,290.84369,37.728828,15.122
1,0,0,0,0,5.07e-06,-5.07e-06,0.0016,-0.0016,0.198,0.0559,-0.0559,382.1,1332,38.9,4.35,-0.10300000000000001,291.43997,37.905659,15.026
1,0,0,0,0,9.54e-06,-9.54e-06,0.00108,-0.00108,0.083,0.0454,-0.0454,1304.0,812,50.8,4.656000000000001,-0.11199999999999999,290.87051,38.273628,15.591
2,0,1,1,1,9.7e-08,-9.7e-08,0.000169,-0.000169,0.33399999999999996,0.0115,-0.0115,10967.0,1836,299.7,4.678,-0.083,290.99689,38.28492,15.748
0,0,0,0,0,6.19e-06,-6.19e-06,0.00048300000000000003,-0.00048300000000000003,0.006999999999999999,0.0331,-0.0331,5741.1,812,183.6,4.541,-0.192,291.28195,38.241669,15.657
1,0,0,0,0,5.8399999999999997e-05,-5.8399999999999997e-05,0.0024100000000000002,-0.0024100000000000002,0.32299999999999995,0.0754,-0.0754,1494.7,361,35.2,4.754,-0.031,286.07912999999996,39.27832,15.954
1,0,0,0,0,0.0002654,-0.0002654,0.0043,-0.0043,0.415,0.13,-0.13,1394.7,273,26.0,4.754,-0.031,286.07912999999996,39.27832,15.954
1,0,0,0,0,0.00020030000000000002,-0.00020030000000000002,0.00647,-0.00647,0.004,0.177,-0.177,104.0,649,17.1,4.406000000000001,-0.11,300.86397999999997,44.337551,12.882
1,0,0,0,0,7.709999999999999e-07,-7.709999999999999e-07,0.000157,-0.000157,0.069,0.0302,-0.0302,8544.8,1005,370.8,4.592,-0.136,294.65524,39.308361,15.725
1,0,0,0,0,9.76e-05,-9.76e-05,0.0035399999999999997,-0.0035399999999999997,0.066,0.122,-0.122,986.8,536,32.1,4.615,-0.10400000000000001,294.71063,39.52174,15.583
1,0,0,0,0,1.58e-07,-1.58e-07,7.609999999999999e-05,-7.609999999999999e-05,0.022000000000000002,0.0033799999999999998,-0.0033799999999999998,7969.0,1579,799.7,4.322,-0.1,293.87192000000005,38.422939,15.001
2,1,0,1,0,0.00010229999999999999,-0.00010229999999999999,0.0105,-0.0105,33.63,0.731,-0.731,322.6,838,14.2,4.567,-0.152,293.94116,38.601101,15.559000000000001
0,0,0,0,0,1.65e-05,-1.65e-05,0.0014199999999999998,-0.0014199999999999998,0.401,0.0528,-0.0528,1019.8,757,53.9,4.526,-0.10800000000000001,290.33362,38.728229999999996,15.387
2,0,1,0,0,3.76e-06,-3.76e-06,0.000306,-0.000306,0.04,0.0272,-0.0272,16918.0,843,636.8,4.359,-0.18,287.69675,38.886452,15.645999999999999
1,0,0,0,0,4.6399999999999996e-05,-4.6399999999999996e-05,0.0066099999999999996,-0.0066099999999999996,0.32299999999999995,0.18600000000000003,-0.18600000000000003,55.8,1021,14.4,4.406000000000001,-0.11,300.86397999999997,44.337551,12.882
1,0,0,0,0,3.21e-05,-3.21e-05,0.00042300000000000004,-0.00042300000000000004,0.067,0.0327,-0.0327,20280.0,411,347.2,4.556,-0.081,285.28362999999996,38.947281,15.402999999999999
2,0,0,1,1,2.7e-06,-2.7e-06,0.0015,-0.0015,6.813,0.0846,-0.0846,816.1,1470,38.8,4.53,-0.204,286.92638999999997,38.921631,15.974
2,0,0,1,1,1.17e-05,-1.17e-05,0.00309,-0.00309,0.33399999999999996,0.113,-0.113,589.2,918,48.5,4.578,-0.027999999999999997,287.74881,38.92955,15.842
1,0,0,0,0,1.13e-07,-1.13e-07,5.79e-05,-5.79e-05,0.022000000000000002,0.0106,-0.0106,15044.0,1539,1009.3,4.4910000000000005,-0.195,285.21381,39.027481,15.53
0,0,0,0,0,5.43e-06,-5.43e-06,0.0009429999999999999,-0.0009429999999999999,0.425,0.0332,-0.0332,1008.7,886,70.6,4.574,-0.09699999999999999,287.09398999999996,39.060719,15.119000000000002
1,0,0,0,0,3.18e-06,-3.18e-06,0.00075,-0.00075,0.002,0.0318,-0.0318,1632.6,656,71.6,4.754,-0.031,286.07912999999996,39.27832,15.954
2,0,1,1,0,2.4e-06,-2.4e-06,0.0008349999999999999,-0.0008349999999999999,16.5,0.0427,-0.0427,1339.2,1326,64.9,4.506,-0.21600000000000003,295.37805,40.493401,15.555
1,0,0,0,0,5.2000000000000004e-05,-5.2000000000000004e-05,0.00224,-0.00224,0.32899999999999996,0.0687,-0.0687,893.6,701,46.1,4.405,-0.12300000000000001,290.46176,40.562462,15.386
1,0,0,0,0,4.83e-05,-4.83e-05,0.0036,-0.0036,0.027999999999999997,0.18100000000000002,-0.18100000000000002,418.0,870,28.5,4.405,-0.12300000000000001,290.46176,40.562462,15.386
1,0,0,0,0,0.00017649999999999998,-0.00017649999999999998,0.004070000000000001,-0.004070000000000001,0.025,0.19899999999999998,-0.19899999999999998,993.0,550,39.7,4.405,-0.12300000000000001,290.46176,40.562462,15.386
1,0,0,0,0,1.5e-07,-1.5e-07,3.3299999999999996e-05,-3.3299999999999996e-05,0.006,0.00079,-0.00079,22335.0,975,1996.7,4.572,-0.064,290.58173,40.5774,15.224
1,0,0,0,0,7.55e-06,-7.55e-06,0.0007650000000000001,-0.0007650000000000001,0.237,0.043,-0.043,2472.1,964,113.2,4.439,-0.221,294.4899,39.771439,15.67
1,0,0,0,0,1.09e-05,-1.09e-05,0.00107,-0.00107,0.0,0.0447,-0.0447,1558.0,460,56.4,4.753,-0.039,288.81201,40.033401,15.877
2,0,1,0,0,3.48e-06,-3.48e-06,7.159999999999999e-05,-7.159999999999999e-05,0.003,0.00645,-0.00645,82872.0,500,1300.0,4.521,-0.152,294.14789,40.055538,15.472000000000001
2,0,1,0,0,1.49e-05,-1.49e-05,0.0026100000000000003,-0.0026100000000000003,0.098,0.27399999999999997,-0.27399999999999997,2450.6,1155,296.9,4.5,-0.163,295.11371,40.071171,15.27
1,0,0,0,0,2.17e-05,-2.17e-05,0.00118,-0.00118,0.262,0.044000000000000004,-0.044000000000000004,430.2,874,107.4,4.191,-0.018000000000000002,297.02826,48.208611,12.487
1,0,0,0,0,7.23e-05,-7.23e-05,0.0026100000000000003,-0.0026100000000000003,0.39399999999999996,0.091,-0.091,1175.4,639,37.8,4.41,-0.188,294.77686,40.15374,15.54
1,0,0,0,0,1.0199999999999999e-05,-1.0199999999999999e-05,0.000608,-0.000608,0.033,0.0645,-0.0645,15337.0,600,166.0,4.496,-0.025,283.25354,40.358189,16.422
1,0,0,0,0,2.0300000000000002e-05,-2.0300000000000002e-05,0.00205,-0.00205,0.409,0.0635,-0.0635,887.9,687,39.3,4.574,-0.040999999999999995,283.22141,40.421828999999995,15.289000000000001
1,0,0,0,0,1.9399999999999997e-05,-1.9399999999999997e-05,0.00324,-0.00324,0.195,0.10300000000000001,-0.10300000000000001,417.5,823,21.3,4.574,-0.040999999999999995,283.22141,40.421828999999995,15.289000000000001
1,0,0,0,0,8.06e-06,-8.06e-06,0.001,-0.001,0.009000000000000001,0.0408,-0.0408,780.7,914,70.8,4.553999999999999,-0.168,291.14951,40.420521,15.09
1,0,0,0,0,3.37e-07,-3.37e-07,8.859999999999999e-05,-8.859999999999999e-05,0.013000000000000001,0.0168,-0.0168,10859.0,1021,568.2,4.519,-0.063,299.3161,40.822379999999995,15.027999999999999
1,0,0,0,0,3.98e-05,-3.98e-05,0.00103,-0.00103,0.021,0.102,-0.102,5073.8,481,117.2,4.581,-0.085,292.23676,41.085879999999996,15.855
2,0,1,0,0,5.46e-07,-5.46e-07,4.5e-05,-4.5e-05,0.009000000000000001,0.00533,-0.00533,44791.0,796,1671.1,4.523,-0.154,294.74396,40.53392,15.365
1,0,0,0,0,4.5e-05,-4.5e-05,0.00275,-0.00275,0.39899999999999997,0.0875,-0.0875,504.6,888,49.1,4.191,-0.10800000000000001,287.89713,40.637821,15.084000000000001
1,0,0,0,0,2.7000000000000002e-05,-2.7000000000000002e-05,0.00345,-0.00345,0.204,0.0994,-0.0994,285.0,1146,35.1,4.191,-0.10800000000000001,287.89713,40.637821,15.084000000000001
1,0,0,0,0,9.57e-06,-9.57e-06,0.00398,-0.00398,0.053,0.106,-0.106,115.9,1642,19.9,4.191,-0.10800000000000001,287.89713,40.637821,15.084000000000001
1,0,0,0,0,7.28e-06,-7.28e-06,0.0018100000000000002,-0.0018100000000000002,0.242,0.0558,-0.0558,120.3,1458,50.4,4.191,-0.018000000000000002,297.02826,48.208611,12.487
1,0,0,0,0,0.0003134,-0.0003134,0.00471,-0.00471,0.20800000000000002,0.134,-0.134,862.7,366,20.9,4.603,-0.06,294.20215,40.66341,15.208
2,0,1,1,1,4.74e-06,-4.74e-06,0.0016300000000000002,-0.0016300000000000002,5.685,0.0817,-0.0817,1268.1,1010,50.5,4.58,-0.032,299.64285,40.691238,15.835999999999999
1,0,0,0,0,1.91e-05,-1.91e-05,0.00182,-0.00182,0.145,0.0595,-0.0595,875.4,696,38.4,4.5360000000000005,-0.016,291.15878,40.750271000000005,15.66
1,0,0,0,0,1.4400000000000001e-05,-1.4400000000000001e-05,0.00313,-0.00313,0.47100000000000003,0.0984,-0.0984,391.8,864,22.8,4.5360000000000005,-0.016,291.15878,40.750271000000005,15.66
2,0,1,0,0,1.27e-06,-1.27e-06,0.000207,-0.000207,1.089,0.0122,-0.0122,6044.3,1114,269.7,4.47,-0.22399999999999998,292.21436,40.759762,15.311
1,0,0,0,0,4.18e-06,-4.18e-06,0.000733,-0.000733,0.319,0.0321,-0.0321,3812.1,1038,99.5,4.54,-0.212,299.18686,41.74268,15.287
1,0,0,0,0,1.49e-05,-1.49e-05,0.00143,-0.00143,0.001,0.0529,-0.0529,1024.4,742,54.4,4.499,-0.06,286.5657,41.808399,15.376
1,0,0,0,0,6.36e-05,-6.36e-05,0.00409,-0.00409,0.002,0.305,-0.305,647.5,613,25.7,4.499,-0.06,286.5657,41.808399,15.376
0,0,0,0,0,2.6700000000000002e-05,-2.6700000000000002e-05,0.00317,-0.00317,0.295,0.111,-0.111,655.9,810,24.8,4.581,-0.085,292.23676,41.085879999999996,15.855
1,0,0,0,0,2.3199999999999998e-05,-2.3199999999999998e-05,0.0015199999999999999,-0.0015199999999999999,0.016,0.0562,-0.0562,1149.4,562,52.7,4.592,-0.027000000000000003,292.91312,41.060921,15.389000000000001
1,0,0,0,0,8.31e-05,-8.31e-05,0.00172,-0.00172,0.145,0.0634,-0.0634,1563.8,397,51.7,4.592,-0.027000000000000003,292.91312,41.060921,15.389000000000001
1,0,0,0,0,1.61e-06,-1.61e-06,0.000306,-0.000306,0.004,0.0224,-0.0224,2877.4,1234,240.6,4.3919999999999995,-0.217,293.49661000000003,41.137589,15.27
1,0,0,0,0,3.04e-06,-3.04e-06,0.000638,-0.000638,0.32299999999999995,0.0265,-0.0265,2020.3,1151,116.1,4.463,-0.12,283.86441,41.346458,15.581
1,0,0,0,0,3.6099999999999997e-05,-3.6099999999999997e-05,0.0018100000000000002,-0.0018100000000000002,0.091,0.11199999999999999,-0.11199999999999999,1187.5,727,74.6,4.444,-0.196,288.51001,41.301769,15.447000000000001
1,0,0,0,0,4.75e-06,-4.75e-06,0.000134,-0.000134,0.002,0.00935,-0.00935,25391.0,554,748.1,4.584,-0.17600000000000002,296.88821,41.396091,15.482000000000001
1,0,0,0,0,0.00014680000000000002,-0.00014680000000000002,0.00131,-0.00131,0.08,0.13,-0.13,3604.6,452,160.9,4.2219999999999995,-0.105,287.1543,41.565788,15.200999999999999
1,0,0,0,0,6.13e-05,-6.13e-05,0.00197,-0.00197,0.015,0.0669,-0.0669,269.6,712,62.0,4.181,-0.016,287.36279,38.649601000000004,12.377
1,0,0,0,0,2.09e-05,-2.09e-05,0.0016,-0.0016,0.429,0.0602,-0.0602,750.6,777,49.2,4.462,-0.168,288.9942,41.633282,15.017999999999999
1,0,0,0,0,3.02e-05,-3.02e-05,0.00145,-0.00145,0.011000000000000001,0.0875,-0.0875,1442.4,613,62.6,4.523,-0.09,292.10519,42.380322,15.219000000000001
0,0,0,0,0,0.0002773,-0.0002773,0.000898,-0.000898,0.006,0.0606,-0.0606,20715.0,188,271.8,4.627,-0.018000000000000002,293.00797,42.307201,15.172
1,0,0,0,0,0.00010549999999999999,-0.00010549999999999999,0.0022199999999999998,-0.0022199999999999998,0.379,0.0756,-0.0756,1572.6,445,45.5,4.562,-0.052000000000000005,291.63898,42.436321,15.599
1,0,0,0,0,5.28e-05,-5.28e-05,0.00242,-0.00242,0.326,0.0721,-0.0721,812.4,568,22.6,4.562,-0.052000000000000005,291.63898,42.436321,15.599
1,0,0,0,0,0.0002753,-0.0002753,0.00329,-0.00329,0.413,0.132,-0.132,1626.0,233,27.4,4.757,-0.027000000000000003,289.50847999999996,41.812119,15.849
1,0,0,0,0,6.58e-06,-6.58e-06,0.000123,-0.000123,0.016,0.0136,-0.0136,22839.0,453,907.8,4.586,-0.11199999999999999,291.76041000000004,41.944069,15.196
0,0,0,0,0,1.55e-05,-1.55e-05,0.000301,-0.000301,0.003,0.0213,-0.0213,15179.0,552,561.1,4.487,-0.20800000000000002,293.17929,41.969238,15.344000000000001
1,0,0,0,0,2.48e-05,-2.48e-05,0.0005690000000000001,-0.0005690000000000001,0.361,0.051,-0.051,1646.2,669,355.7,3.907,-0.036000000000000004,294.55917,46.062328,12.654000000000002
2,0,1,0,0,5.97e-06,-5.97e-06,0.000346,-0.000346,0.34700000000000003,0.0194,-0.0194,5732.9,733,184.1,4.46,-0.182,289.89777000000004,42.009151,15.06
2,0,1,1,1,2.2899999999999998e-05,-2.2899999999999998e-05,0.00185,-0.00185,0.799,0.505,-0.505,1159.8,667,51.7,4.516,-0.055999999999999994,286.24356,42.148811,15.546
1,0,0,0,0,5.02e-06,-5.02e-06,0.00173,-0.00173,0.325,0.0554,-0.0554,315.8,1160,30.7,4.58,-0.081,290.00757000000004,42.116459000000006,15.001
2,0,1,0,0,3.3100000000000004e-07,-3.3100000000000004e-07,4.48e-05,-4.48e-05,0.02,0.00627,-0.00627,33004.0,901,1630.4,4.53,-0.13,284.08731,42.233230999999996,15.33
1,0,0,0,0,3.87e-06,-3.87e-06,0.0009880000000000002,-0.0009880000000000002,0.366,0.0324,-0.0324,781.2,1221,64.8,4.503,-0.2,293.81647000000004,42.212502,15.533
1,0,0,0,0,4.34e-06,-4.34e-06,0.000848,-0.000848,0.221,0.0314,-0.0314,1154.0,1038,86.1,4.484,-0.11199999999999999,287.24268,42.301369,15.604000000000001
1,0,0,0,0,8.83e-05,-8.83e-05,0.0031,-0.0031,0.081,0.0986,-0.0986,840.9,622,37.8,4.484,-0.11199999999999999,287.24268,42.301369,15.604000000000001
1,0,0,0,0,3.05e-05,-3.05e-05,0.0023899999999999998,-0.0023899999999999998,0.023,0.0777,-0.0777,569.1,791,21.1,4.484,-0.11199999999999999,287.24268,42.301369,15.604000000000001
0,0,0,0,0,0.0001179,-0.0001179,0.000704,-0.000704,0.17300000000000001,0.0382,-0.0382,7430.5,366,223.5,4.342,-0.10800000000000001,291.58377,42.368159999999996,15.085
