omdb_id,omdb_title,omdb_year,omdb_rated,omdb_released,omdb_runtime,omdb_director,omdb_actors,omdb_language,omdb_country,omdb_ratings,omdb_metascore,omdb_imdbRating,omdb_imdbVotes
tt6806448,Fast & Furious Presents: Hobbs & Shaw,2019,PG-13,02 Aug 2019,137 min,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby","English, Samoan, Russian",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.7,"74,896"
tt1025100,Gemini Man,2019,PG-13,11 Oct 2019,117 min,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",English,"China, USA","[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.9,294
tt5294518,Eli,2019,R,18 Oct 2019,98 min,Ciarán Foy,"Charlie Shotwell, Kelly Reilly, Max Martini, Lili Taylor",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,5.9,"4,660"
tt7349950,It: Chapter Two,2019,R,06 Sep 2019,169 min,Andy Muschietti,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa",English,"Canada, USA","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.0,"79,586"
tt6139732,Aladdin,2019,PG,24 May 2019,128 min,Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari","Arabic, English",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.1,"133,674"
tt9430698,One Piece: Stampede,2019,N/A,24 Oct 2019,101 min,Takashi Otsuka,"Johnny Yong Bosch, Chô, D.C. Douglas, Kyle Hebert",Japanese,Japan,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"1,114"
tt6146586,John Wick: Chapter 3 - Parabellum,2019,R,17 May 2019,131 min,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne","Mandarin, Latin, English, Russian, Japanese, Italian, Arabic, Indonesian",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.6,"166,855"
tt1587310,Maleficent,2014,PG,30 May 2014,97 min,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.0,"311,641"
tt6565702,Dark Phoenix,2019,PG-13,07 Jun 2019,113 min,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","English, French","USA, Canada","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.8,"94,363"
tt4154756,Avengers: Infinity War,2018,PG-13,27 Apr 2018,149 min,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,8.5,"717,106"
tt3501632,Thor: Ragnarok,2017,PG-13,03 Nov 2017,130 min,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.9,"510,167"
tt4332232,Fractured,2019,N/A,11 Oct 2019,100 min,Brad Anderson,"Lily Rabe, Sam Worthington, Stephen Tobolowsky, Lucy Capri",N/A,USA,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,79
tt7131622,Once Upon a Time... in Hollywood,2019,R,26 Jul 2019,161 min,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch","English, Italian, Spanish","USA, UK, China","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.0,"200,902"
tt5865326,The Laundromat,2019,R,27 Sep 2019,95 min,Steven Soderbergh,"Gary Oldman, Jeffrey Wright, Meryl Streep, Sharon Stone","Russian, English, Mandarin, Spanish",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,459
tt5503686,Hustlers,2019,R,13 Sep 2019,110 min,Lorene Scafaria,"Constance Wu, Jennifer Lopez, Julia Stiles, Mette Towley","English, Spanish, Russian",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.7,"12,312"
tt4633694,Spider-Man: Into the Spider-Verse,2018,PG,14 Dec 2018,117 min,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","English, Spanish",USA,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.4,"267,425"
tt2837574,The Old Man & the Gun,2018,PG-13,19 Oct 2018,93 min,David Lowery,"Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover","English, Spanish",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,6.7,"30,740"
tt1620981,The Addams Family,2019,PG,11 Oct 2019,87 min,"Greg Tiernan, Conrad Vernon","Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard",English,"UK, Canada, USA","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.8,"1,513"
tt6218010,Journey to China: The Mystery of Iron Mask,2019,N/A,16 Aug 2019,120 min,Oleg Stepchenko,"Jason Flemyng, Xingtong Yao, Anna Churina, Jackie Chan","English, Russian, Chinese","Russia, China","[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,335
tt1790864,The Maze Runner,2014,PG-13,19 Sep 2014,113 min,Wes Ball,"Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper",English,"USA, UK","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.8,"392,424"
tt2527336,Star Wars: The Last Jedi,2017,PG-13,15 Dec 2017,152 min,Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.1,"476,677"
tt3741700,Godzilla: King of the Monsters,2019,PG-13,31 May 2019,132 min,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe","English, Japanese, Chinese","Japan, Canada, USA","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.2,"89,164"
tt2015381,Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121 min,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,8.0,"975,698"
tt2250912,Spider-Man: Homecoming,2017,PG-13,07 Jul 2017,133 min,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","English, Spanish",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.4,"452,558"
tt2386490,How to Train Your Dragon: The Hidden World,2019,PG,22 Feb 2019,104 min,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett",English,"USA, Japan","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.5,"75,243"
tt1340138,Terminator Genisys,2015,PG-13,01 Jul 2015,126 min,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.4,"238,578"
tt4154796,Avengers: Endgame,2019,PG-13,26 Apr 2019,181 min,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","English, Japanese, Xhosa","USA, UK, Canada","[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.6,"561,813"
tt2139881,Long Shot,2019,R,03 May 2019,125 min,Jonathan Levine,"Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr.","English, Swedish, French, Vietnamese, Russian, Hebrew",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.9,"50,391"
tt2283336,Men in Black: International,2019,PG-13,14 Jun 2019,114 min,F. Gary Gray,"Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson","English, French",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.6,"61,387"
tt8079248,Yesterday,2019,PG-13,28 Jun 2019,116 min,Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell","English, Italian, Japanese","UK, Russia, China","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.0,"44,927"
tt0816692,Interstellar,2014,PG-13,07 Nov 2014,169 min,Christopher Nolan,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",English,"USA, UK, Canada","[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,8.6,"1,333,291"
tt4154664,Captain Marvel,2019,PG-13,08 Mar 2019,123 min,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",English,"USA, Australia","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.0,"359,923"
tt4429160,Red Shoes and the Seven Dwarfs,2019,N/A,25 Jul 2019,92 min,"Sung-ho Hong, Moo-Hyun Jang(co-director), Young Sik Uhm(co-director)","Chloë Grace Moretz, Sam Claflin, Gina Gershon, Patrick Warburton",English,South Korea,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,68
tt7734218,Stuber,2019,R,12 Jul 2019,93 min,Michael Dowse,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.2,"9,714"
tt1206885,Rambo: Last Blood,2019,R,20 Sep 2019,89 min,Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza","English, Spanish","USA, Spain, Bulgaria","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,6.8,"17,078"
tt8022928,Descendants 3,2019,TV-G,02 Aug 2019,106 min,Kenny Ortega,"Dove Cameron, Luke Roessler, Cameron Boyce, Cheyenne Jackson",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,6.9,"2,622"
tt3498820,Captain America: Civil War,2016,PG-13,06 May 2016,147 min,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","English, German, Xhosa, Russian, Romanian, Hindi",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.8,"602,106"
tt3387520,Scary Stories to Tell in the Dark,2019,PG-13,09 Aug 2019,108 min,André Øvredal,"Zoe Margaret Colletti, Michael Garza, Dean Norris, Gil Bellows",English,"USA, Canada, China","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.4,"18,402"
tt1375666,Inception,2010,PG-13,16 Jul 2010,148 min,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","English, Japanese, French","USA, UK","[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,8.8,"1,883,433"
tt1825683,Black Panther,2018,PG-13,16 Feb 2018,134 min,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","English, Swahili, Nama, Xhosa, Korean",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.3,"545,565"
tt1345836,The Dark Knight Rises,2012,PG-13,20 Jul 2012,164 min,Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","English, Arabic","UK, USA","[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.4,"1,408,657"
tt1156398,Zombieland,2009,R,02 Oct 2009,88 min,Ruben Fleischer,"Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.6,"469,668"
tt0848228,The Avengers,2012,PG-13,04 May 2012,143 min,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","English, Russian, Hindi",USA,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.0,"1,200,683"
tt2713180,Fury,2014,R,17 Oct 2014,134 min,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña","English, German","USA, China, UK","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.6,"389,500"
tt8364368,Crawl,2019,R,12 Jul 2019,87 min,Alexandre Aja,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson",English,"USA, Serbia, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.3,"23,610"
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,PG-13,18 Dec 2015,138 min,J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,8.0,"797,388"
tt0437086,Alita: Battle Angel,2019,PG-13,14 Feb 2019,122 min,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali","English, Spanish",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.4,"163,225"
tt0409459,Watchmen,2009,R,06 Mar 2009,162 min,Zack Snyder,"Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.6,"461,098"
tt1714834,23-F: la película,2011,N/A,23 Feb 2011,N/A,Chema de la Peña,"Paco Tous, Juan Diego, Fernando Cayo, Mariano Venancio",Spanish,Spain,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,269
tt4425200,John Wick: Chapter 2,2017,R,10 Feb 2017,122 min,Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose","English, Italian, Russian","USA, Hong Kong","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.5,"312,934"
tt8350360,Annabelle Comes Home,2019,R,26 Jun 2019,106 min,Gary Dauberman,"Vera Farmiga, Patrick Wilson, Mckenna Grace, Madison Iseman",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.0,"30,216"
tt7456310,Anna,2019,R,21 Jun 2019,119 min,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy","English, Russian, French","France, USA","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.6,"19,049"
tt3861390,Dumbo,2019,PG,29 Mar 2019,112 min,Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green","English, French","USA, UK, Australia, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.3,"46,108"
tt1727824,Bohemian Rhapsody,2018,PG-13,02 Nov 2018,134 min,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",English,"UK, USA","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,8.0,"386,260"
tt1893256,Redemption,2013,R,28 Jun 2013,100 min,Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong","English, Polish, Cantonese, Italian","UK, USA","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.2,"62,068"
tt5463162,Deadpool 2,2018,R,18 May 2018,119 min,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison","English, Cantonese, Spanish, Russian",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.7,"416,508"
tt1270797,Venom,2018,PG-13,05 Oct 2018,112 min,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","English, Mandarin, Malay","China, USA","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.7,"304,804"
tt2935510,Ad Astra,2019,PG-13,20 Sep 2019,123 min,James Gray,"Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland","English, Japanese, Russian",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.0,"52,852"
tt2948356,Zootopia,2016,PG,04 Mar 2016,108 min,"Byron Howard, Rich Moore, Jared Bush(co-director)","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.0,"394,091"
tt1229238,Mission: Impossible - Ghost Protocol,2011,PG-13,21 Dec 2011,132 min,Brad Bird,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner","English, Russian, French, Arabic, Swedish","USA, United Arab Emirates, Czech Republic, Russia, India, Canada","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.4,"433,576"
tt2310332,The Hobbit: The Battle of the Five Armies,2014,PG-13,17 Dec 2014,144 min,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",English,"New Zealand, USA","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.4,"444,357"
tt0455944,The Equalizer,2014,R,26 Sep 2014,132 min,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","English, Russian, Spanish",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.2,"307,887"
tt5884052,Pokémon Detective Pikachu,2019,PG,10 May 2019,104 min,Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy",English,"USA, Japan, UK, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.7,"97,681"
tt2294629,Frozen,2013,PG,27 Nov 2013,102 min,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","English, Norwegian",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.5,"525,344"
tt6751668,Parasite,2019,R,30 May 2019,132 min,Joon-ho Bong,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi",Korean,South Korea,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,8.5,"34,961"
