emp_no,salary,from_date,to_date
10085,40000,1994-04-09,1995-04-09
10086,81613,1992-02-19,1993-02-18
10087,96750,1997-05-08,1998-05-08
10088,65957,1988-09-02,1989-09-02
10089,56469,1989-01-10,1990-01-10
10090,44978,1986-03-14,1987-03-14
10091,40000,1992-11-18,1993-11-18
10092,53977,1996-04-22,1997-04-22
10093,67856,1997-06-08,1998-06-08
10094,58001,1987-04-18,1988-04-17
10095,63668,1994-03-10,1995-03-10
10096,61395,1999-01-23,2000-01-23
10097,44886,1990-09-15,1991-09-15
10098,40000,1985-05-13,1986-05-13
10099,68781,1988-10-18,1989-10-18
10100,54398,1987-09-21,1988-09-20
10101,66591,1998-10-14,1999-10-14
10102,44380,1995-01-02,1996-01-02
10103,68158,1998-01-12,1999-01-12
10104,45312,1987-04-16,1988-04-15
10105,59258,1999-05-17,2000-05-16
10106,62928,1991-10-27,1992-10-25
10107,93159,1999-03-30,2000-03-29
10108,40000,1999-03-20,2000-03-19
10109,40000,1993-06-16,1994-06-16
10110,46836,1986-08-22,1987-08-22
10111,40000,1988-12-19,1989-12-19
10112,49500,1998-05-01,1999-05-01
10113,69856,1998-09-14,1999-09-14
10114,49593,1992-07-17,1993-07-17
10115,40000,1988-03-03,1989-03-03
10116,44034,1994-02-27,1995-02-27
10117,52284,1992-03-19,1993-03-19
10118,40000,1992-02-02,1993-02-01
10119,53551,1993-12-09,1994-12-09
10120,46292,1996-07-06,1997-07-06
10121,43772,1989-05-03,1990-05-03
10122,42284,1998-08-06,1999-08-06
10123,71524,1993-01-15,1994-01-15
10124,40583,1991-09-05,1992-09-04
10125,58249,1990-10-26,1991-10-26
10126,40000,1985-09-08,1986-09-08
10127,40000,1991-05-17,1992-05-16
10128,40000,1988-06-06,1989-06-06
10129,40000,1996-01-16,1997-01-15
10130,40000,1988-06-21,1989-06-21
10131,48475,1999-09-17,1999-12-06
10132,61590,1997-06-18,1998-06-18
10133,40000,1985-12-15,1986-12-15
10134,40000,1987-12-12,1988-12-11
10135,40000,1990-01-04,1991-01-04
10136,82420,1988-06-13,1989-06-13
10137,40000,1985-02-18,1986-02-18
10138,53574,1992-03-03,1993-03-03
10139,40000,1998-03-15,1999-03-15
10140,61352,1991-03-14,1992-03-13
10141,62907,1998-07-23,1999-07-23
10142,40000,1993-10-28,1994-10-28
10143,40000,1988-09-30,1989-09-30
10144,56720,1985-10-14,1986-10-14
10145,47612,1999-11-03,2000-11-02
10146,60394,1988-06-28,1989-06-28
10147,40000,1987-12-18,1988-12-17
10148,63021,1996-07-15,1997-07-15
10149,88740,1994-01-28,1995-01-28
10150,70122,1986-11-16,1987-11-16
10151,90741,1992-12-12,1993-12-12
10152,40000,1986-01-27,1987-01-27
10153,54246,2000-01-08,2001-01-07
10154,40000,1996-10-23,1997-10-23
10155,40040,1990-01-05,1991-01-05
10156,49879,1993-05-14,1994-05-14
10157,48770,1997-12-10,1998-12-10
10158,40725,1987-06-04,1988-06-03
10159,52881,1996-06-12,1997-06-12
10160,91622,1993-12-06,1994-12-06
10161,43149,1991-06-09,1992-06-08
10162,40000,1998-05-27,1999-05-27
10163,41603,1992-02-02,1993-02-01
10164,52043,1990-10-19,1991-10-19
10165,43991,1988-05-17,1989-05-17
10166,51586,1996-09-02,1997-09-02
10167,56990,1992-04-04,1993-04-04
10168,51818,1986-12-06,1987-12-06
10169,70303,1998-06-28,1999-06-28
10170,47183,1986-01-02,1987-01-02
10171,41311,1996-08-05,1997-08-05
10172,41197,1998-02-04,1999-02-04
10173,85757,1992-03-21,1993-03-21
10174,59520,1987-06-01,1988-05-31
10175,72285,1988-09-24,1989-09-24
10176,54635,1994-12-22,1995-12-22
10177,48041,1993-02-06,1994-02-06
10178,50568,1994-03-21,1995-03-21
10179,40000,2000-01-25,2001-01-24
10180,52444,1994-07-01,1995-07-01
10181,40000,1988-06-22,1989-06-22
10182,40380,1990-09-02,1991-09-02
10183,40000,1996-08-11,1997-08-11
10184,48586,1997-12-26,1998-12-26
10185,68334,1986-03-01,1987-03-01
10186,40000,1996-12-25,1997-08-16
10187,71454,1991-06-01,1992-05-31
10188,62365,1987-08-27,1988-08-26
10189,41222,1992-09-13,1993-06-29
10190,40000,1986-06-23,1987-06-23
10191,40000,1986-04-10,1987-04-10
10192,40000,1988-06-13,1989-06-13
10193,48733,1996-09-21,1997-09-21
10194,64941,1997-02-14,1998-02-14
10195,40000,1985-02-15,1986-02-15
10196,86671,1999-01-31,2000-01-31
10197,40000,1994-06-28,1995-06-28
10198,44076,1985-08-31,1986-08-31
10199,42042,1998-02-07,1999-02-07
10200,46879,1994-02-17,1995-02-17
10201,40000,1992-11-10,1993-11-10
10202,47338,1991-10-06,1992-10-05
10203,40000,1989-04-06,1990-04-06
10204,40000,1998-12-18,1999-03-08
10205,40000,1993-08-23,1994-08-23
10206,40000,1988-04-19,1989-04-19
10207,52783,1992-10-11,1993-10-11
10208,61890,1995-02-05,1996-02-05
10209,57996,1991-11-23,1992-11-22
10210,40000,1996-02-24,1997-02-23
10211,49032,1991-11-22,1992-11-21
10212,65938,1996-01-28,1997-01-27
10213,40000,1994-10-06,1995-10-06
10214,58341,1988-02-29,1989-02-28
10215,43944,1991-11-23,1992-11-22
10216,40000,1987-10-30,1988-10-29
10217,40000,1986-05-12,1987-05-12
10218,40788,1997-01-31,1998-01-31
10219,40000,1993-03-31,1994-03-31
10220,58883,1997-09-16,1998-09-16
10221,57821,1988-06-08,1989-06-08
10222,40000,1986-06-08,1987-06-08
10223,62922,1998-04-01,1999-04-01
10224,40000,1988-01-09,1989-01-08
10225,40000,1995-12-14,1996-12-13
10226,79456,1996-01-29,1997-01-28
10227,53497,1994-11-01,1995-11-01
10228,79474,1992-12-22,1993-12-22
10229,58321,1996-02-20,1997-02-19
10230,47531,1996-06-16,1997-06-16
10231,40000,1998-09-09,1999-09-09
10232,89606,1992-06-04,1993-06-04
10233,40000,1994-04-29,1995-04-29
10234,84584,1990-11-19,1991-11-19
10235,41941,1995-04-06,1996-04-04
10236,80469,1996-08-30,1997-08-30
10237,100715,1989-08-11,1990-08-11
10238,52764,1995-03-31,1996-03-30
10239,65146,1996-05-04,1997-05-04
10240,73874,1998-10-06,1999-10-06
10241,40000,1988-06-12,1989-06-12
10242,40000,1988-01-18,1989-01-17
10243,59332,1986-06-07,1987-06-07
10244,56292,1999-09-16,2000-09-15
10245,40000,1994-04-21,1995-02-20
10246,40000,1991-02-01,1992-02-01
10247,40000,1992-08-14,1993-08-14
10248,58918,1991-08-13,1992-08-12
10249,72192,1991-12-08,1992-12-07
10250,50330,1992-08-30,1993-08-30
10251,61743,1992-06-25,1993-06-25
10252,40000,1990-11-08,1991-11-08
10253,62494,1985-02-21,1986-02-21
10254,60222,1990-06-14,1991-06-14
10255,63822,1993-05-12,1994-05-12
10256,71305,1985-10-12,1986-10-12
10257,40000,1997-07-16,1998-07-16
10258,66280,1985-05-17,1986-05-17
10259,88991,1987-07-25,1988-07-24
10260,60879,1993-02-01,1994-02-01
10261,40000,1996-09-11,1997-09-11
10262,63005,1996-01-22,1997-01-21
10263,67883,1996-12-21,1997-12-21
10264,60522,1997-07-16,1998-07-16
10265,46382,1997-09-12,1998-09-12
10266,47093,1990-05-25,1991-05-25
10267,40000,1997-04-26,1998-04-26
10268,41017,1986-12-17,1987-12-17
10269,40000,1988-07-24,1989-07-24
10270,42081,1991-09-26,1992-09-25
10271,53680,1986-05-23,1987-05-23
10272,58070,1997-10-23,1998-10-23
10273,75148,1985-11-06,1986-11-06
10274,86164,1997-02-02,1998-02-02
10275,40000,1987-09-08,1988-09-07
10276,40000,1986-10-19,1987-10-19
10277,59534,1985-06-16,1986-06-16
10278,51703,1993-07-02,1994-07-02
10279,40000,1995-04-26,1996-04-25
10280,66695,1995-01-27,1996-01-27
10281,46123,1994-12-03,1995-12-03
10282,40000,1996-05-02,1997-05-02
10283,40000,1988-05-25,1989-05-25
10284,40000,1999-07-06,2000-07-05
10285,62075,1995-05-25,1996-05-24
10286,40000,1994-12-24,1995-12-24
10287,55732,1992-12-28,1993-12-28
10288,80474,1994-08-29,1995-08-29
10289,40000,1993-03-12,1994-03-12
10290,44274,1991-09-18,1992-09-17
10291,57430,1987-03-30,1988-03-29
10292,78370,1989-06-05,1990-06-05
10293,44200,1992-12-12,1993-12-12
10294,66448,1999-01-30,1999-05-04
10295,46398,1995-06-19,1996-06-18
10296,77788,1989-09-16,1990-09-16
10297,63061,1986-05-28,1987-05-28
10298,40000,1999-04-27,2000-04-26
10299,76484,1990-01-10,1991-01-10
10300,72504,1991-05-17,1992-05-16
10301,40000,1988-05-23,1989-05-23
10302,58239,1986-07-22,1987-07-22
10303,40000,1990-02-05,1991-02-05
10304,106905,1992-11-16,1993-11-16
10305,52550,1988-10-31,1989-10-31
10306,44229,1993-09-06,1994-09-06
10307,40000,1999-10-16,2000-10-15
10308,59715,1992-12-29,1993-12-29
10309,53031,1997-05-02,1998-05-02
10310,42894,1990-10-24,1991-10-24
10311,40000,1998-11-04,1999-11-04
10312,56705,1986-08-28,1987-08-28
10313,60589,1994-10-10,1995-10-10
10314,51939,1986-01-16,1987-01-16
10315,60494,1987-08-28,1988-08-27
10316,40000,1990-12-18,1991-01-02
10317,51129,1999-01-24,2000-01-24
10318,73259,1987-03-23,1988-03-22
10319,84162,1994-06-18,1995-06-18
10320,58483,1988-11-03,1989-11-03
10321,86819,1995-07-24,1996-07-23
10322,41968,1990-01-29,1991-01-29
10323,40000,1991-06-06,1992-06-05
10324,67499,1999-07-19,2000-07-18
10325,44325,1990-09-20,1991-09-20
10326,40000,1998-09-02,1999-09-02
10327,54734,1987-09-18,1988-09-17
10328,46286,1998-07-17,1999-07-17
10329,51664,1986-01-20,1987-01-20
10330,86545,1993-10-08,1994-10-08
10331,55800,1986-10-29,1987-10-29
10332,52133,1988-10-20,1989-10-20
10333,45141,1993-01-16,1994-01-16
10334,40000,1998-02-15,1999-02-15
10335,52633,1992-04-06,1993-04-06
10336,63248,1996-09-27,1997-09-27
10337,56061,1998-04-25,1999-04-25
10338,40000,1999-12-29,2000-12-28
10339,40000,1989-11-30,1990-11-30
10340,68132,1988-03-30,1989-03-30
10341,40000,1987-04-29,1988-04-28
10342,40000,1987-07-25,1988-07-24
10343,40000,1997-10-03,1998-10-03
10344,53087,1999-04-19,2000-04-18
10345,66930,1993-11-08,1994-11-08
10346,78088,1992-01-17,1993-01-16
10347,42199,1998-02-20,1999-02-20
10348,40000,1995-10-22,1996-10-21
10349,47518,1991-09-28,1992-09-27
10350,41213,1991-05-11,1992-05-10
10351,40000,1995-05-01,1996-04-30
10352,40000,1998-12-16,1999-12-16
10353,62656,1989-08-24,1990-08-24
10354,60762,1999-03-03,2000-03-02
10355,70434,1996-01-26,1997-01-25
10356,45376,1995-06-26,1996-06-25
10357,40000,1994-04-04,1995-04-04
10358,63243,1991-02-19,1992-02-19
10359,40000,1998-07-20,1999-07-20
10360,40000,1996-09-04,1997-09-04
10361,64213,1986-10-23,1987-10-23
10362,40000,1990-11-02,1991-11-02
10363,40401,1985-09-11,1986-09-11
10364,51401,1985-11-14,1986-11-14
10365,45523,1987-10-22,1988-10-21
10366,47229,1997-08-15,1998-08-15
10367,63565,1991-06-24,1992-06-23
10368,42463,1996-05-16,1997-05-16
10369,47236,1994-09-05,1995-09-05
10370,40010,1992-04-18,1993-04-18
10371,61475,1989-11-28,1990-11-28
10372,54505,1985-07-30,1986-07-30
10373,53305,1997-04-26,1998-04-26
10374,69568,1993-12-08,1994-12-08
10375,93329,1994-05-29,1995-05-29
10376,42634,1990-12-08,1991-12-08
10377,40000,1996-08-24,1997-08-24
10378,75311,1992-08-31,1993-08-31
10379,40000,1996-07-15,1997-07-15
10380,76387,1985-03-19,1986-03-19
10381,78510,1991-12-04,1992-12-03
10382,45785,1998-07-01,1999-07-01
10383,47452,1991-06-19,1992-06-18
10384,43270,1986-01-16,1987-01-16
10385,40000,1992-12-20,1993-12-20
10386,53367,1985-08-02,1986-08-02
10387,61374,1994-01-07,1995-01-07
10388,62545,1999-05-28,2000-05-27
10389,55548,1999-05-13,2000-05-12
10390,40000,1989-05-17,1990-05-17
10391,56655,1993-01-28,1994-01-28
10392,50962,1992-03-01,1993-03-01
10393,40000,1989-06-23,1990-06-23
10394,40000,1991-03-14,1991-08-25
10395,42774,1998-08-10,1999-08-10
10396,40393,1986-01-11,1987-01-11
10397,40529,1993-05-21,1994-05-21
10398,54156,1990-10-12,1991-10-12
10399,97010,2000-01-26,2001-01-25
10400,63746,1993-10-17,1994-10-17
10401,40000,1999-10-25,2000-10-24
10402,40000,1987-01-02,1988-01-02
10403,83609,1991-09-13,1992-09-12
10404,51647,1988-08-28,1989-08-28
10405,40000,1998-09-26,1999-09-26
10406,40000,1996-01-26,1997-01-25
10407,62565,1999-10-30,2000-10-29
10408,76369,1998-10-07,1999-10-07
10409,64363,1997-09-26,1998-09-26
10410,46546,1993-10-16,1994-10-16
10411,66415,1989-09-02,1990-09-02
10412,65405,1991-11-21,1992-11-20
10413,45416,1991-12-27,1992-12-26
10414,43255,1990-05-30,1991-05-30
10415,50219,1993-10-25,1994-10-25
10416,68993,1989-03-24,1990-03-24
10417,78571,1999-06-27,2000-06-26
10418,52224,1996-10-04,1997-10-04
10419,40569,1992-04-25,1993-04-25
10420,69604,1988-01-17,1989-01-16
10421,40000,1990-04-07,1991-04-06
10422,45725,1995-01-03,1996-01-03
10423,51183,1999-05-27,2000-05-26
10424,50054,1989-08-07,1990-08-07
10425,40000,1995-05-07,1996-05-06
10426,65757,1985-07-06,1986-07-06
10427,79320,1994-10-03,1995-10-03
10428,40000,1992-06-04,1993-06-04
10429,40000,1988-09-23,1989-09-23
10430,40000,1998-07-05,1999-07-05
10431,67068,1987-10-08,1988-10-07
10432,40000,1990-08-13,1991-08-13
10433,40000,1992-11-26,1993-11-26
10434,40000,1995-06-27,1996-06-26
10435,45352,1996-06-08,1997-06-08
10436,40000,1988-01-30,1989-01-29
10437,59749,1996-04-12,1997-04-12
10438,40000,1990-01-19,1991-01-19
10439,62401,1993-05-01,1994-05-01
10440,54615,1997-04-04,1998-04-04
10441,40000,1988-07-12,1989-07-12
10442,46005,1992-02-12,1993-02-11
10443,55299,1989-08-01,1990-08-01
10444,86407,1994-10-23,1995-10-23
10445,59438,1987-11-04,1988-11-03
10446,48170,1996-12-25,1997-12-25
10447,40000,1988-12-29,1989-12-29
10448,48558,1992-03-12,1993-03-12
10449,55316,1987-03-28,1988-03-27
10450,40000,1997-08-24,1998-08-24
10451,46275,1988-03-12,1989-03-12
10452,40000,1995-11-12,1996-11-11
10453,40000,1985-04-02,1986-04-02
10454,84280,1989-04-16,1990-04-16
10455,98251,1995-02-19,1996-02-19
10456,57599,2000-01-06,2001-01-05
10457,60672,1999-10-23,2000-10-22
10458,76973,1994-07-05,1995-07-05
10459,40000,1997-06-28,1998-06-28
10460,40000,1999-06-30,2000-06-29
10461,82217,1987-08-03,1988-08-02
10462,40000,1996-03-25,1997-03-25
10463,66480,1994-02-17,1995-02-17
10464,40000,1991-05-21,1992-05-20
10465,59124,1994-12-11,1995-12-11
10466,55318,1997-08-22,1998-08-22
10467,79905,1992-05-22,1993-05-22
10468,40000,1991-05-28,1992-05-27
10469,42697,1985-06-05,1986-06-05
10470,49593,1989-09-19,1990-09-19
10471,58951,1990-11-18,1991-11-18
10472,48561,1999-12-01,2000-11-30
10473,41613,1997-09-23,1998-09-23
10474,43948,1987-02-21,1988-02-21
10475,51203,1992-05-13,1993-05-13
10476,58221,1987-09-20,1988-09-19
10477,55138,1997-05-26,1998-05-26
10478,40000,1992-06-09,1993-06-09
10479,40000,1993-07-24,1994-07-24
10480,55669,1988-05-18,1989-05-18
10481,40000,1989-10-03,1990-10-03
10482,79330,1996-02-26,1997-02-25
10483,47423,1993-11-10,1994-11-10
10484,40000,1996-12-20,1997-12-20
10485,47265,1996-01-21,1997-01-20
10486,71692,1987-10-08,1988-10-07
10487,45083,1992-08-14,1993-08-14
10488,40000,1994-07-09,1995-07-09
10489,56739,1989-09-10,1989-10-06
10490,62973,1992-11-22,1993-11-22
10491,66740,1990-01-17,1991-01-17
10492,60838,1988-04-29,1989-04-29
10493,43998,1998-10-29,1999-10-29
10494,50094,1991-12-18,1992-12-17
10495,75661,1989-09-24,1990-09-24
10496,41835,1995-08-29,1996-08-28
10497,63707,1992-01-22,1993-01-21
10498,40000,1994-03-09,1995-03-09
10499,40000,1996-07-31,1997-07-31
10500,42688,1996-12-16,1997-12-16
10501,53922,1988-09-08,1989-09-08
10502,40000,1993-03-04,1994-03-04
10503,40000,1997-03-13,1998-03-13
10504,43931,1999-10-19,2000-10-18
10505,63696,1985-07-23,1986-07-23
10506,40000,1996-12-01,1997-12-01
10507,40000,1990-09-30,1991-09-30
10508,46204,1991-05-01,1992-04-30
10509,49292,1992-10-06,1993-10-06
10510,69341,1990-04-20,1991-04-20
10511,40000,1992-01-27,1993-01-26
10512,40000,1989-11-28,1990-11-28
10513,86392,1991-04-02,1992-04-01
10514,48428,1992-04-29,1993-04-29
10515,91484,1990-01-06,1991-01-06
10516,74920,1985-10-19,1986-10-19
10517,65330,1990-12-25,1991-12-25
10518,51168,1993-09-03,1994-09-03
10519,40000,1992-12-05,1993-12-05
10520,40000,1996-09-05,1997-09-05
10521,91262,1989-05-11,1990-05-11
10522,40000,1986-12-12,1987-12-12
10523,40000,1989-12-23,1990-12-23
10524,49950,1985-10-09,1986-10-09
10525,87439,1990-07-08,1991-07-08
10526,40000,1988-02-27,1989-02-26
10527,43405,1996-01-25,1997-01-24
10528,63813,1993-10-28,1994-10-28
10529,47840,1997-07-04,1998-07-04
10530,68487,1987-09-23,1988-09-22
10531,49168,1995-03-16,1996-03-15
10532,87468,1986-05-18,1987-05-18
10533,57135,1990-08-17,1991-08-17
10534,40000,1998-01-26,1999-01-26
10535,47272,1991-08-22,1992-08-21
10536,57487,1988-10-07,1989-10-07
10537,75976,1996-09-25,1997-09-25
10538,72002,1987-07-23,1988-07-22
10539,102092,1990-06-05,1991-06-05
10540,66067,1994-05-03,1995-05-03
10541,50741,1986-02-28,1986-10-01
10542,40000,1992-02-07,1993-02-06
10543,86526,1998-11-24,1999-11-24
10544,45092,1995-04-29,1996-04-28
10545,57752,1990-06-30,1991-06-30
10546,46871,1991-04-14,1992-04-13
10547,40000,1988-02-14,1989-02-13
10548,90631,1986-07-04,1987-07-04
10549,63795,1996-10-11,1997-10-11
10550,40000,1985-02-03,1986-02-03
10551,53473,1988-08-06,1989-08-06
10552,80483,1998-08-31,1999-08-31
10553,73618,1990-07-22,1991-07-22
10554,54763,1990-11-28,1991-11-28
10555,73486,1992-05-22,1993-01-19
10556,68797,1992-04-15,1993-04-15
10557,43289,1992-09-18,1993-09-18
10558,70012,1992-04-22,1993-04-22
10559,90120,1999-04-05,2000-04-04
10560,40000,1996-09-03,1997-09-03
10561,57319,1997-06-30,1998-06-30
10562,59596,1997-07-24,1998-07-24
10563,41280,1992-09-29,1993-09-29
10564,46660,1995-11-23,1996-11-22
10565,40000,1996-08-05,1997-08-05
10566,40000,1990-08-23,1991-08-23
10567,43717,1992-10-18,1993-10-18
10568,64356,1995-07-08,1996-07-07
10569,54732,1987-03-13,1988-03-12
10570,80145,1986-06-16,1987-06-16
10571,43658,1985-02-24,1986-02-24
10572,40000,1988-02-16,1989-02-15
10573,87241,1999-08-20,2000-08-19
10574,40000,1999-11-15,2000-11-14
10575,40523,1988-10-04,1989-10-04
10576,63861,1991-01-03,1992-01-03
10577,48286,1993-07-02,1994-07-02
10578,47301,1989-11-24,1990-11-24
10579,61438,1991-06-02,1992-06-01
10580,40000,1991-03-02,1992-03-01
10581,46569,1994-04-13,1995-04-13
10582,40973,1995-11-06,1996-11-05
10583,79782,1985-02-14,1986-02-14
10584,66898,1986-02-17,1987-02-17
10585,58389,1991-01-09,1992-01-09
10586,47541,1992-02-04,1993-02-03
10587,81562,1991-11-20,1992-11-19
10588,41478,1988-07-25,1989-07-25
10589,57215,1994-01-26,1995-01-26
10590,51930,1986-04-09,1987-04-09
10591,55131,1987-06-18,1988-06-17
10592,55997,1993-09-27,1994-09-27
10593,71435,1990-09-12,1991-09-12
10594,40000,1988-04-02,1989-04-02
10595,40000,1989-11-24,1990-11-24
10596,58689,1996-05-23,1997-05-23
10597,64739,1990-04-01,1991-04-01
10598,43329,1998-06-22,1999-06-22
10599,51952,1991-11-17,1992-11-16
10600,53535,1992-04-27,1993-04-27
10601,40000,1999-07-24,2000-07-23
10602,55058,1989-04-23,1990-04-23
10603,101271,1995-07-20,1996-07-19
10604,50849,1990-04-07,1991-04-06
10605,43162,1993-07-01,1994-07-01
10606,40000,1987-05-02,1988-05-01
10607,55024,1996-01-13,1997-01-12
10608,40000,1986-05-25,1987-05-25
10609,80458,1994-12-03,1995-12-03
10610,49812,1997-03-30,1998-03-30
10611,40000,1989-09-16,1990-09-16
10612,40000,1991-09-02,1992-09-01
10613,40000,1997-10-13,1998-10-13
10614,40000,1990-03-03,1991-03-03
10615,43533,1996-03-10,1997-03-10
10616,87010,1996-11-07,1997-11-07
10617,40000,1991-10-30,1992-10-29
10618,41127,1994-10-07,1995-10-07
10619,81662,1993-04-09,1994-04-09
10620,48584,1990-11-10,1991-11-10
10621,68991,1992-02-10,1993-02-09
10622,40000,1989-05-15,1990-05-15
10623,60268,1992-01-15,1993-01-14
10624,40000,1990-05-07,1991-05-07
10625,59732,1986-07-15,1987-07-15
10626,40000,1996-12-03,1997-12-03
10627,40000,1995-03-13,1996-03-12
10628,41650,1987-03-14,1988-03-13
10629,87045,1999-10-20,2000-10-19
10630,40000,1997-01-13,1998-01-13
10631,40000,1994-10-18,1995-10-18
10632,81733,1985-07-25,1986-07-25
10633,81900,1997-05-16,1998-05-16
10634,45179,1990-11-11,1991-11-11
10635,40000,1991-09-22,1992-09-21
10636,40904,1996-09-25,1997-09-25
10637,103579,1993-07-11,1994-07-11
10638,41573,1994-11-10,1995-11-10
10639,46291,1992-10-25,1993-10-25
10640,65156,1992-12-04,1993-12-04
10641,41785,1993-03-21,1994-03-21
10642,40000,1998-10-05,1999-10-05
10643,46600,1987-11-11,1988-11-10
10644,75403,1985-05-29,1986-05-29
10645,40000,1988-03-01,1989-03-01
10646,51562,1996-01-31,1997-01-30
10647,48302,1997-09-03,1998-09-03
10648,40000,1988-02-16,1989-02-15
10649,40000,1998-06-23,1999-06-23
10650,43591,1992-10-04,1993-10-04
10651,42023,1996-01-08,1997-01-07
10652,53160,1990-02-12,1991-02-12
10653,40000,1987-04-30,1988-04-29
10654,49062,1990-03-25,1991-03-25
10655,82968,1997-07-04,1998-07-04
10656,40658,1988-06-21,1989-06-21
10657,52462,1992-03-26,1993-03-26
10658,60978,1994-04-29,1995-04-29
10659,40000,1995-06-01,1996-05-31
10660,41814,1988-08-12,1989-08-12
10661,48179,1988-01-12,1989-01-11
10662,71708,1999-12-17,2000-12-16
10663,47521,1993-01-23,1994-01-23
10664,48215,1989-12-24,1990-12-24
10665,40000,1988-01-23,1989-01-22
10666,78258,1989-05-20,1990-05-20
10667,40000,1999-07-28,2000-07-27
10668,65326,1997-11-28,1998-11-28
10669,40000,1996-11-17,1997-11-17
10670,74595,1988-03-23,1989-03-23
10671,74037,1995-09-14,1996-09-13
10672,64663,1991-09-29,1992-09-28
10673,40000,1994-07-29,1995-07-29
10674,40000,1999-03-17,2000-03-16
10675,62205,1993-02-02,1994-02-02
10676,58226,1999-09-04,2000-09-03
10677,56994,1999-10-13,2000-10-12
10678,60389,1987-08-02,1988-08-01
10679,40000,1990-05-13,1991-05-13
10680,40000,1992-11-21,1993-11-21
10681,84136,1995-10-02,1996-10-01
10682,40000,1990-11-09,1991-11-09
10683,40000,1997-06-23,1998-06-23
10684,45861,1999-10-28,2000-10-27
10685,60601,1995-12-27,1996-10-20
10686,50869,1987-05-17,1988-05-16
10687,40000,1990-03-13,1991-03-13
10688,88410,1986-04-13,1987-04-13
10689,40000,1988-08-05,1989-08-05
10690,72028,1989-08-22,1990-08-22
10691,46745,1989-09-17,1990-09-17
10692,81380,1993-03-22,1994-03-22
10693,40000,1986-01-08,1987-01-08
10694,53020,1988-01-26,1989-01-25
10695,85720,1998-05-19,1999-05-19
10696,68913,1991-09-09,1992-09-08
10697,40000,1999-08-29,2000-08-28
10698,40000,1994-12-08,1995-12-08
