,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
37,Provideniya,48,RU,1571536239,82,-173.23,-173.23,22.6,5.53
38,Arraial do Cabo,80,BR,1571536239,89,-42.02,-42.02,72.64,9.89
39,Ayan,41,IR,1571536239,84,44.7,44.7,39.34,1.28
40,Buchanan,75,LR,1571536240,94,-10.05,-10.05,75.2,10.8
41,Geraldton,90,CA,1571536240,100,-86.95,-86.95,46.4,11.41
42,Salalah,0,OM,1571536240,53,54.1,54.1,77.0,2.24
43,Georgetown,75,GY,1571536241,83,-58.16,-58.16,82.4,9.17
44,Mandurah,90,AU,1571536241,68,115.7,115.7,73.0,14.99
45,Faanui,32,PF,1571536241,79,-151.75,-151.75,80.65,12.19
46,Cayenne,75,GF,1571536242,78,-52.33,-52.33,82.4,3.36
47,Nabire,100,ID,1571536242,73,135.5,135.5,85.13,2.1
48,Saint-Philippe,1,CA,1571536242,93,-73.48,-73.48,42.01,3.85
49,Chuy,100,UY,1571536243,78,-53.46,-53.46,52.01,8.39
50,Minot,1,US,1571536243,65,-101.3,-101.3,46.4,8.05
51,Taoudenni,0,ML,1571536243,21,-3.98,-3.98,81.37,9.51
52,Naze,40,NG,1571536243,94,7.07,7.07,75.2,3.67
53,Kenai,40,US,1571536244,86,-151.26,-151.26,42.8,12.75
54,Pevek,99,RU,1571535943,73,170.27,170.27,26.88,17.36
55,Mar del Plata,0,AR,1571536244,25,-67.52,-67.52,64.75,10.02
56,East London,3,ZA,1571536245,96,27.91,27.91,62.09,9.33
57,Touros,75,BR,1571536245,83,-35.46,-35.46,77.0,11.41
58,Sao Jose da Coroa Grande,90,BR,1571536245,87,-35.15,-35.15,73.57,4.68
59,Hobart,75,AU,1571536245,45,147.33,147.33,62.6,23.04
60,Goderich,72,CA,1571536246,86,-81.71,-81.71,45.0,11.99
61,Barrow,0,AR,1571536246,70,-60.23,-60.23,53.65,11.54
62,Cape Town,0,ZA,1571536246,87,18.42,18.42,62.01,3.36
63,Beringovskiy,100,RU,1571536247,78,179.32,179.32,22.87,6.35
64,Daru,60,PG,1571536247,64,143.21,143.21,83.02,9.44
65,New Norfolk,75,AU,1571536247,45,147.06,147.06,62.6,23.04
66,Zyryanka,100,RU,1571536248,89,150.89,150.89,18.55,9.24
67,Castro,0,CL,1571536248,87,-73.76,-73.76,46.4,4.7
68,Iqaluit,20,CA,1571536248,73,-68.52,-68.52,24.8,4.7
69,Samarai,0,PG,1571536248,64,150.67,150.67,81.37,7.85
70,Bluff,0,AU,1571536249,9,149.07,149.07,88.64,11.92
71,Anadyr,20,RU,1571536249,100,177.51,177.51,28.4,8.95
72,Tornabe,75,HN,1571536249,70,-87.52,-87.52,86.0,10.29
73,Lorengau,90,PG,1571536250,80,147.27,147.27,83.06,7.27
74,Constitucion,20,MX,1571536250,25,-104.67,-104.67,73.4,4.7
75,Katsuura,75,JP,1571536250,64,134.5,134.5,71.6,14.99
76,Stonewall,75,CA,1571536251,87,-97.33,-97.33,46.99,4.7
77,Puerto Ayora,48,EC,1571536251,89,-90.35,-90.35,69.01,8.01
78,Narsaq,100,GL,1571536251,66,-46.05,-46.05,48.2,11.41
79,Saint George,20,GR,1571536251,100,22.34,22.34,57.2,1.57
80,Mansa,75,IN,1571536252,88,72.66,72.66,73.4,7.34
81,Castro Alves,14,BR,1571536252,98,-39.43,-39.43,66.25,2.62
82,Pisco,0,PE,1571536252,82,-76.2,-76.2,64.99,16.11
83,Tarbes,100,FR,1571536253,100,0.08,0.08,60.01,4.7
84,Fort Nelson,90,CA,1571536253,96,-122.69,-122.69,35.6,3.36
85,Airai,5,TL,1571536253,38,125.41,125.41,91.75,6.06
86,Davidson,0,CA,1571536254,46,-105.98,-105.98,48.99,1.01
87,Point Pleasant,1,US,1571536254,87,-74.07,-74.07,57.2,3.36
88,Robertsport,100,LR,1571536254,88,-11.37,-11.37,77.14,3.51
89,Kurilsk,100,RU,1571536255,93,147.88,147.88,51.02,12.53
90,Bolu,0,TR,1571536255,88,31.61,31.61,51.14,2.68
91,Guerrero Negro,0,MX,1571536255,80,-114.04,-114.04,67.56,18.16
92,Kieta,100,PG,1571536256,65,155.63,155.63,85.0,7.7
93,San Patricio,38,PY,1571536256,80,-56.83,-56.83,61.21,6.89
94,Mount Gambier,90,AU,1571536256,58,140.78,140.78,57.2,13.87
95,Sioux Lookout,20,CA,1571536257,76,-91.92,-91.92,48.2,8.05
96,Inuvik,75,CA,1571536257,85,-133.71,-133.71,21.2,5.82
97,Oktyabrskiy,0,RU,1571536257,81,37.97,37.97,53.6,4.47
98,Jamestown,0,AU,1571536258,23,138.6,138.6,71.57,6.55
99,Basoko,100,CD,1571536258,99,23.61,23.61,65.92,1.68
100,Aviles,90,ES,1571536258,87,-5.92,-5.92,54.0,8.05
101,Kasongo-Lunda,98,CD,1571536259,98,16.82,16.82,65.49,0.69
102,Mayo,90,CA,1571536259,86,-135.9,-135.9,30.2,5.82
103,Norman Wells,90,CA,1571536259,92,-126.83,-126.83,30.2,3.36
104,Berlevag,100,NO,1571536259,57,29.09,29.09,32.96,6.29
105,Rimbey,20,CA,1571536260,44,-114.24,-114.24,41.0,2.24
106,Elizabeth City,1,US,1571536260,87,-76.22,-76.22,62.01,3.36
107,Dikson,100,RU,1571536261,95,80.55,80.55,26.56,25.59
108,Arlit,6,NE,1571536261,17,7.39,7.39,87.07,6.8
109,Najran,0,SA,1571536261,32,44.22,44.22,66.2,3.22
110,Namibe,0,AO,1571536261,85,12.15,12.15,68.48,5.41
111,Atuona,0,PF,1571536262,71,-139.03,-139.03,79.93,17.83
112,Busselton,0,AU,1571535680,45,115.35,115.35,75.99,12.5
113,Lebu,75,ET,1571536262,93,38.73,38.73,55.4,2.24
114,Nalut,0,LY,1571536263,45,10.98,10.98,69.18,13.09
115,Bonga,69,ET,1571536263,98,36.25,36.25,52.17,1.1
116,Timon,0,BR,1571536263,52,-42.84,-42.84,87.8,8.05
117,Kodiak,1,US,1571536264,87,-94.76,-94.76,53.01,3.36
118,Hasaki,75,JP,1571536264,77,140.83,140.83,70.0,9.17
119,Mnogovershinnyy,100,RU,1571536264,58,139.92,139.92,45.94,1.41
120,Eyl,100,SO,1571536265,87,49.82,49.82,75.17,5.35
121,Salamiyah,0,SY,1571536265,93,37.05,37.05,62.57,4.68
122,Saurimo,100,AO,1571536265,95,20.4,20.4,62.25,1.68
123,Kadoma,75,JP,1571536265,68,135.6,135.6,75.0,11.41
124,Hithadhoo,99,MV,1571536266,79,73.08,73.08,81.8,15.57
125,Khandyga,100,RU,1571536266,99,135.58,135.58,32.28,3.83
126,Karibib,0,NA,1571536266,40,15.86,15.86,70.3,3.06
127,Aljezur,11,PT,1571536267,94,-8.8,-8.8,59.0,1.99
128,Keti Bandar,0,PK,1571536267,53,67.45,67.45,83.85,12.41
129,Suntar,100,RU,1571536267,70,117.65,117.65,31.78,3.29
130,Konnur,9,IN,1571536268,85,75.5,75.5,73.81,10.6
131,Iralaya,100,HN,1571536268,92,-83.23,-83.23,76.63,3.18
132,Ilulissat,83,GL,1571536268,86,-51.1,-51.1,28.4,5.82
133,Itarema,44,BR,1571536268,91,-39.92,-39.92,74.89,5.73
134,Carnarvon,0,ZA,1571536269,23,22.13,22.13,61.78,5.97
135,Kherson,90,UA,1571536269,100,32.61,32.61,51.8,6.71
136,Palauig,0,PH,1571536270,72,119.9,119.9,84.1,5.93
137,Coquimbo,90,CL,1571536271,76,-71.34,-71.34,55.4,8.05
138,Yulara,91,AU,1571536271,15,130.99,130.99,84.2,19.46
139,Kilosa,100,TZ,1571536271,82,36.99,36.99,60.34,4.85
140,Venado Tuerto,19,AR,1571536271,70,-61.97,-61.97,57.99,8.5
141,Nelson Bay,2,AU,1571536272,45,152.14,152.14,68.0,13.87
142,Pitimbu,40,BR,1571536272,83,-34.81,-34.81,77.0,6.93
143,Laguna,40,BZ,1571536273,88,-88.94,-88.94,82.4,1.74
144,Ati,92,TD,1571536273,57,18.34,18.34,83.47,10.18
145,Tura,20,RU,1571536274,86,100.22,100.22,11.06,3.49
146,Broome,12,GB,1571536274,100,1.45,1.45,46.99,4.7
147,Cherskiy,91,RU,1571535942,93,161.3,161.3,8.88,5.88
148,Avarua,28,CK,1571536274,83,-159.78,-159.78,75.2,10.29
149,Vila Velha,75,BR,1571536275,78,-38.6,-38.6,80.6,10.29
150,Trincomalee,100,LK,1571536275,73,81.23,81.23,83.8,0.43
151,Port Hardy,75,CA,1571536275,87,-127.42,-127.42,48.2,4.7
152,Orapa,0,BW,1571536276,24,25.37,25.37,68.55,6.4
153,Ginir,82,ET,1571536276,91,40.71,40.71,56.49,3.91
154,Longyearbyen,75,NO,1571536276,62,15.63,15.63,19.4,6.93
155,Cortez,1,US,1571536276,21,-108.58,-108.58,48.2,8.21
156,Mareeba,0,AU,1571536277,61,145.42,145.42,91.99,9.17
157,Miles City,1,US,1571536277,34,-105.84,-105.84,48.2,5.82
158,Hilo,90,US,1571536052,69,-155.08,-155.08,82.4,4.7
159,Mahebourg,40,MU,1571536278,68,57.7,57.7,71.6,12.75
160,Felipe Carrillo Puerto,100,MX,1571536278,92,-88.05,-88.05,78.79,3.87
161,Brownwood,40,US,1571536278,55,-98.99,-98.99,69.8,6.29
162,Vostok,0,RU,1571536279,55,135.83,135.83,53.95,5.53
163,Chokurdakh,41,RU,1571536279,94,147.9,147.9,3.68,8.61
164,Perelyub,39,RU,1571536279,92,50.37,50.37,38.65,7.16
165,Villa Bruzual,100,VE,1571536279,93,-69.12,-69.12,67.16,2.48
166,Hohhot,0,CN,1571536280,38,111.65,111.65,41.0,4.47
167,Kovdor,0,RU,1571536280,91,30.47,30.47,17.18,3.36
168,Povenets,100,RU,1571536281,90,34.83,34.83,46.18,9.04
169,Kavieng,33,PG,1571536281,73,150.8,150.8,83.74,10.07
170,Port Lincoln,0,AU,1571536281,73,135.86,135.86,55.09,10.0
171,Mae Hong Son,40,MM,1571536282,83,97.96,97.96,75.2,1.77
172,Timmins,75,CA,1571536282,70,-81.33,-81.33,46.4,9.17
173,Serebryansk,100,KZ,1571536282,99,83.3,83.3,32.42,4.72
174,Ahipara,99,NZ,1571536283,64,173.16,173.16,59.39,2.89
175,Teguise,27,ES,1571536283,83,-13.56,-13.56,71.6,6.93
176,Faya,0,SA,1571536283,48,42.45,42.45,60.8,2.3
177,Lima,75,PE,1571536284,82,-77.04,-77.04,64.4,16.11
178,Raudeberg,35,NO,1571536284,65,5.14,5.14,44.6,6.93
179,Puri,100,ID,1571536284,30,112.45,112.45,95.55,12.71
180,Hambantota,40,LK,1571536285,100,81.12,81.12,75.2,1.12
181,Voiron,0,FR,1571536285,82,5.59,5.59,66.2,10.29
182,Jasper,90,US,1571536285,100,-87.28,-87.28,61.0,3.27
183,Batsfjord,99,NO,1571536285,56,29.72,29.72,33.07,7.74
184,Nampula,25,MZ,1571536286,93,39.26,39.26,69.49,3.74
185,Santa Catalina,100,UY,1571536286,86,-57.49,-57.49,52.0,1.99
186,Isangel,75,VU,1571536286,69,169.27,169.27,82.4,9.17
187,Kyshtovka,62,RU,1571536287,75,76.62,76.62,22.65,8.84
188,Gaoua,53,BF,1571536287,89,-3.18,-3.18,72.94,5.32
189,Ostrovnoy,100,RU,1571536287,73,39.51,39.51,32.12,19.89
190,Bagdarin,100,RU,1571536288,92,113.59,113.59,28.72,6.85
191,Opuwo,93,NA,1571536288,53,13.84,13.84,70.96,1.36
192,Mehamn,87,NO,1571536288,69,27.85,27.85,28.48,6.93
193,Sabang,2,PH,1571536289,55,121.11,121.11,88.66,6.91
194,Rio Grande,100,BR,1571536289,95,-52.1,-52.1,49.2,3.58
195,San Cristobal,76,HN,1571536289,90,-86.92,-86.92,67.43,3.56
196,Severo-Kurilsk,0,RU,1571536289,77,156.12,156.12,40.63,15.48
197,Korfovskiy,0,RU,1571536290,43,135.06,135.06,55.4,11.18
198,Aginskoye,100,RU,1571536290,57,114.54,114.54,33.99,20.02
199,Puerto Leguizamo,100,CO,1571536291,91,-74.78,-74.78,72.4,0.18
200,Tateyama,75,JP,1571536291,82,137.31,137.31,69.01,3.36
201,Port Alfred,100,ZA,1571536291,95,26.89,26.89,66.0,3.0
202,Pandan,67,PH,1571536291,75,122.09,122.09,83.76,10.92
203,Nikolskoye,20,RU,1571536292,87,30.79,30.79,48.2,11.18
204,Saskylakh,0,RU,1571536292,91,114.09,114.09,-4.44,3.31
205,Bethel,1,US,1571536293,69,-161.76,-161.76,33.8,4.7
206,Oussouye,0,SN,1571536052,94,-16.54,-16.54,78.8,4.7
207,Buriti Alegre,100,BR,1571536293,38,-49.04,-49.04,81.62,7.56
208,Adrar,0,DZ,1571536293,25,-0.29,-0.29,73.4,13.87
209,Vaitape,32,PF,1571536294,79,-151.75,-151.75,80.65,12.19
210,Nome,1,US,1571536294,88,-94.42,-94.42,81.0,4.7
211,Lompoc,20,US,1571536295,93,-120.46,-120.46,68.0,21.92
212,Codrington,40,AU,1571536295,47,153.24,153.24,77.0,19.46
213,Xuddur,100,SO,1571536296,84,43.89,43.89,73.09,7.96
214,Miri,100,NG,1571536296,78,9.75,9.75,70.69,3.85
215,Walvis Bay,0,NA,1571536296,95,14.51,14.51,59.0,5.99
216,Porangatu,32,BR,1571536296,58,-49.14,-49.14,79.4,1.83
217,Silver City,1,US,1571536297,30,-108.28,-108.28,62.01,10.29
218,Hay River,90,CA,1571536297,86,-115.79,-115.79,33.8,5.82
219,Paso de los Toros,100,UY,1571536298,89,-56.52,-56.52,51.0,9.82
220,Sebinkarahisar,80,TR,1571536298,70,38.42,38.42,46.32,1.28
221,Bredasdorp,0,ZA,1571536298,82,20.04,20.04,59.0,4.7
222,Dauphin,90,CA,1571536298,75,-100.04,-100.04,44.6,5.82
223,Clyde River,1,CA,1571536299,78,-68.59,-68.59,15.8,4.7
224,San Rafael,100,AR,1571536299,34,-68.33,-68.33,64.86,20.33
225,Alofi,35,NU,1571536299,74,-169.92,-169.92,82.4,12.75
226,Mbuji-Mayi,61,CD,1571536300,94,23.6,23.6,65.96,2.1
227,Isabela,73,PH,1571536300,78,122.99,122.99,82.34,7.87
228,Beaverlodge,90,CA,1571536300,100,-119.43,-119.43,33.8,9.17
229,Manadhoo,100,MV,1571536301,80,73.38,73.38,82.07,13.56
230,Saryg-Sep,100,RU,1571536301,45,95.55,95.55,35.43,2.95
231,Bambous Virieux,40,MU,1571536301,68,57.76,57.76,71.6,12.75
232,Talnakh,40,RU,1571536302,85,88.39,88.39,12.2,15.05
233,Shelburne,1,CA,1571536302,87,-80.2,-80.2,46.4,5.82
234,Bouna,46,CI,1571536302,92,-3.0,-3.0,72.89,6.76
235,Nenjiang,100,CN,1571536303,56,125.23,125.23,54.24,14.74
236,Alghero,0,IT,1571536303,82,8.32,8.32,62.6,4.7
237,Wasilla,1,US,1571536303,81,-149.44,-149.44,44.01,3.36
238,Erzin,75,TR,1571536304,100,36.2,36.2,70.0,5.82
239,Cubara,100,CO,1571536304,97,-72.11,-72.11,49.87,1.34
240,Kedrovyy,75,RU,1571536304,85,91.82,91.82,23.0,4.47
241,Palmer,20,AU,1571536305,48,139.16,139.16,66.0,11.41
242,Kysyl-Syr,72,RU,1571536305,81,122.77,122.77,30.64,4.5
243,Oystese,40,NO,1571536305,81,6.19,6.19,46.99,3.36
244,Codajas,91,BR,1571536306,90,-62.06,-62.06,72.6,1.07
245,Comodoro Rivadavia,20,AR,1571536306,63,-67.48,-67.48,60.8,2.24
246,Mana,73,NG,1571536306,68,5.27,5.27,79.33,7.52
247,Bintulu,75,MY,1571536306,88,113.03,113.03,80.6,5.82
248,Nelson,100,CA,1571536307,94,-117.29,-117.29,30.07,1.79
249,Quimper,0,FR,1571536307,93,-4.1,-4.1,46.99,5.82
250,Mayumba,100,GA,1571536308,86,10.65,10.65,76.58,3.6
251,Thunder Bay,20,CA,1571536308,100,-89.26,-89.26,48.0,3.36
252,Abu Samrah,0,SY,1571536308,84,37.18,37.18,63.89,6.62
253,Henties Bay,0,NA,1571536308,95,14.28,14.28,59.0,5.99
254,Hofn,41,IS,1571536309,36,-15.21,-15.21,26.05,5.93
255,Tabas,47,IR,1571536309,21,56.92,56.92,60.8,4.7
256,Patan,75,NP,1571536309,93,85.33,85.33,62.6,2.24
257,Tiksi,80,RU,1571536310,95,128.87,128.87,7.62,4.85
258,Shakawe,2,BW,1571536310,14,21.84,21.84,73.41,4.16
259,Balabac,34,PH,1571536310,64,117.06,117.06,87.38,5.75
260,Balsas,0,BR,1571536311,66,-46.04,-46.04,79.1,2.46
261,Portland,1,US,1571536145,75,-70.25,-70.25,46.0,4.7
262,Qaanaaq,0,GL,1571536311,48,-69.36,-69.36,0.87,6.31
263,Ushtobe,100,KZ,1571536311,29,77.98,77.98,53.93,7.02
264,Astana,90,KZ,1571536312,79,71.43,71.43,24.8,22.37
265,Burgeo,99,CA,1571536312,88,-57.61,-57.61,48.05,20.2
266,Sindor,100,RU,1571536312,89,51.9,51.9,32.95,13.27
267,Ipoh,75,MY,1571536313,88,101.08,101.08,78.8,5.82
268,Lahij,89,YE,1571536313,75,44.88,44.88,77.44,9.01
269,Moron,6,HT,1571536313,75,-74.26,-74.26,80.74,6.51
270,Riberalta,100,BO,1571536314,97,-66.08,-66.08,72.46,1.05
271,Honningsvag,100,NO,1571536314,60,25.97,25.97,32.55,4.52
272,Ygatimi,98,PY,1571536314,97,-55.5,-55.5,68.5,1.63
273,Luderitz,0,NA,1571536314,76,15.16,15.16,58.16,17.98
274,Saint-Pierre,90,FR,1571536315,100,4.24,4.24,53.6,8.05
275,Pilibanga,62,IN,1571536315,30,74.08,74.08,76.22,2.89
276,Vao,100,EE,1571536315,96,26.19,26.19,46.73,7.38
277,Jiexiu,100,CN,1571536316,20,111.92,111.92,58.24,9.06
278,Russell,1,US,1571536316,53,-98.86,-98.86,57.0,6.93
279,Pechenga,100,RU,1571536316,96,41.46,41.46,49.96,8.14
280,Grindavik,75,IS,1571536317,75,-22.43,-22.43,42.8,10.29
281,Tigil,53,RU,1571536317,83,158.67,158.67,32.46,5.28
282,Torbay,20,CA,1571536317,93,-52.73,-52.73,48.0,16.11
283,Bukachacha,100,RU,1571536318,95,116.91,116.91,30.3,7.4
284,Ancud,0,CL,1571536318,87,-73.83,-73.83,46.4,4.7
285,Muros,75,ES,1571536319,100,-9.06,-9.06,57.0,1.12
286,Port Moresby,40,PG,1571536319,66,147.16,147.16,86.0,18.34
287,Teresopolis,75,BR,1571536319,73,-42.97,-42.97,77.0,8.05
288,Marshall,1,US,1571536319,93,-94.37,-94.37,71.01,3.51
289,Huandacareo,40,MX,1571536320,64,-101.28,-101.28,68.0,6.93
290,Wake Forest,90,US,1571536320,58,-78.51,-78.51,61.0,5.3
291,Srednekolymsk,100,RU,1571536320,83,153.71,153.71,17.47,5.5
292,Bandarbeyla,98,SO,1571536321,82,50.81,50.81,74.89,9.82
293,Garden City,90,US,1571536321,40,-116.24,-116.24,51.8,18.34
294,Caravelas,30,BR,1571536321,86,-39.27,-39.27,74.15,4.94
295,Komsomolskiy,100,RU,1571536322,94,63.78,63.78,25.01,20.0
296,Ponta Delgada,75,PT,1571536322,67,-25.67,-25.67,62.6,6.93
297,La Tuque,0,CA,1571536322,90,-72.79,-72.79,32.64,0.94
298,Hattiesburg,1,US,1571536323,93,-89.29,-89.29,69.8,3.36
299,Kharovsk,100,RU,1571536323,96,40.21,40.21,49.78,9.19
300,Cap Malheureux,40,MU,1571536323,68,57.61,57.61,71.6,12.75
301,Banff,35,CA,1571536324,90,-115.57,-115.57,32.0,7.0
302,Sitka,11,US,1571536324,50,-99.65,-99.65,59.0,8.99
303,Coruripe,30,BR,1571536324,96,-36.18,-36.18,69.7,6.33
304,Beloha,0,MG,1571536324,51,45.06,45.06,70.66,3.18
305,Muisne,72,EC,1571536325,85,-80.02,-80.02,74.11,14.45
306,Bar Harbor,1,US,1571536325,75,-68.2,-68.2,48.0,3.36
307,Pacific Grove,90,US,1571536325,72,-121.92,-121.92,64.99,3.36
308,Kahului,40,US,1571536326,58,-156.47,-156.47,86.0,14.99
309,Ruy Barbosa,0,BR,1571536326,77,-40.5,-40.5,67.67,2.89
310,Gornopravdinsk,0,RU,1571536326,75,69.92,69.92,21.26,5.08
311,Terney,5,RU,1571536326,48,136.61,136.61,59.01,4.63
312,Necochea,0,AR,1571536327,95,-58.74,-58.74,46.0,5.99
313,Sibolga,100,ID,1571536327,84,98.78,98.78,80.3,12.68
314,Orange Cove,1,US,1571536327,42,-119.31,-119.31,73.4,7.67
315,Cabo San Lucas,75,MX,1571536328,78,-109.91,-109.91,78.8,13.87
316,Gosainganj,75,IN,1571536328,94,81.11,81.11,75.2,4.9
317,San Quintin,0,PH,1571536328,61,120.52,120.52,86.48,3.33
318,Lagoa,0,PT,1571536329,87,-8.45,-8.45,59.0,8.05
319,Madingou,99,CG,1571536329,95,13.56,13.56,72.94,3.6
320,San Jose de Guanipa,100,VE,1571536329,80,-64.17,-64.17,76.56,10.94
321,Vardo,1,US,1571536329,76,-77.74,-77.74,55.0,2.71
322,Shellbrook,75,CA,1571536330,56,-106.39,-106.39,41.0,6.53
323,Whitehorse,20,CA,1571536330,86,-135.06,-135.06,34.0,10.29
324,Poum,0,MK,1571536330,84,20.71,20.71,48.43,1.05
325,Windhoek,0,NA,1571536331,31,17.08,17.08,75.2,11.41
326,Pailon,48,BO,1571536331,73,-62.72,-62.72,69.8,5.82
327,Betulia,75,CO,1571536331,93,-75.98,-75.98,59.0,3.36
328,Sobolevo,100,RU,1571536332,86,31.9,31.9,51.99,6.2
329,Petropavlovsk-Kamchatskiy,0,RU,1571536332,35,158.65,158.65,42.8,4.47
330,Vytegra,100,RU,1571536332,90,36.45,36.45,47.04,11.83
331,Rome,0,IT,1571536332,82,12.48,12.48,62.01,4.7
332,Humaita,90,AR,1571536333,72,-65.37,-65.37,62.6,3.36
333,Esperance,79,AU,1571536333,43,121.89,121.89,71.6,21.92
334,Astoria,90,US,1571536333,87,-123.83,-123.83,53.01,4.7
335,Ales,100,FR,1571536334,88,4.08,4.08,68.0,18.34
336,Tumut,0,AU,1571536334,45,148.22,148.22,59.19,8.59
337,Darhan,28,MN,1571536334,53,105.92,105.92,35.84,7.45
338,Shingu,75,JP,1571536335,64,135.99,135.99,73.4,6.93
339,Giporlos,100,PH,1571536335,70,125.45,125.45,84.32,4.21
340,Saint-Leu,75,RE,1571536335,56,55.28,55.28,71.6,6.93
341,Lakes Entrance,99,AU,1571536336,49,147.99,147.99,66.99,16.6
342,Kudahuvadhoo,17,MV,1571536336,79,72.89,72.89,81.8,11.65
343,Shaoyang,0,CN,1571536336,48,111.45,111.45,73.23,2.91
344,Iwanai,0,JP,1571536336,66,140.51,140.51,57.57,10.74
345,Topolobampo,5,MX,1571536337,58,-109.05,-109.05,82.4,16.11
346,Sarangani,32,PH,1571536337,67,125.46,125.46,83.33,3.13
347,Zhigansk,93,RU,1571536337,93,123.37,123.37,17.9,3.69
348,Grand-Lahou,97,CI,1571536338,98,-5.0,-5.0,72.94,2.89
349,Auki,100,NG,1571536338,78,6.51,6.51,74.81,10.58
350,Alta Floresta,100,BR,1571536339,92,-56.08,-56.08,71.0,2.68
351,Upernavik,100,GL,1571536339,76,-56.15,-56.15,27.55,11.1
352,Luziania,0,BR,1571536339,34,-47.95,-47.95,82.4,3.36
353,Saldanha,94,PT,1571536339,82,-6.55,-6.55,47.09,14.56
354,Dunedin,100,NZ,1571536340,56,170.5,170.5,62.01,17.0
355,Durham,75,GB,1571536340,93,-1.58,-1.58,48.99,13.87
356,Jumla,100,NP,1571536340,52,82.18,82.18,51.07,1.01
357,Liusha,5,CN,1571536341,61,108.59,108.59,71.43,2.73
358,Boden,0,SE,1571536341,85,21.69,21.69,24.8,10.29
359,Ballina,67,IE,1571536341,89,-9.15,-9.15,51.01,5.99
360,Muroto,75,JP,1571536342,53,134.14,134.14,73.4,16.11
361,Lasa,0,CY,1571536342,82,32.53,32.53,69.8,9.17
362,Kichera,100,RU,1571536342,79,110.1,110.1,25.93,6.49
363,Bubaque,0,GW,1571536343,82,-15.83,-15.83,81.65,11.59
364,Cascais,75,PT,1571536343,87,-9.42,-9.42,59.0,3.36
365,Lata,0,IN,1571536344,42,78.62,78.62,34.44,3.74
366,Flinders,0,AU,1571536344,25,150.85,150.85,73.99,4.7
367,Inhambane,0,MZ,1571536344,93,35.38,35.38,65.65,4.56
368,Kutum,57,SD,1571536348,57,24.66,24.66,74.89,4.0
369,Ojinaga,1,US,1571536348,33,-104.41,-104.41,77.0,4.9
370,General Roca,75,AR,1571536349,41,-67.58,-67.58,75.2,3.36
371,Jadu,36,LY,1571536349,49,12.03,12.03,69.4,18.79
372,Santa Luzia,40,BR,1571536349,68,-43.85,-43.85,73.4,11.41
